gb_id,label
446561,"Historia de América Latina;Historiografía, Bibliografía y Biografía"
445391,"Historia de América Latina;Historiografía, Bibliografía y Biografía"
447926,"Historia de América Latina;Historiografía, Bibliografía y Biografía"
439166,"Historia de América Latina;Historiografía, Bibliografía y Biografía"
447018,"Historia de América Latina;Historiografía, Bibliografía y Biografía"
356687,History
436773,History
448472,"Literature, Romance"
443458,History
444819,"Literature, Romance"
471240,History
567210,History
212637,History & Philosophy Of Science
256622,History & Philosophy Of Science
213427,History & Philosophy Of Science
261484,"Literature, Romance"
338556,History;Medieval & Renaissance Studies
338555,History;Medieval & Renaissance Studies
238905,History & Philosophy Of Science
275597,History & Philosophy Of Science
338554,History;Medieval & Renaissance Studies
238906,History & Philosophy Of Science
238907,History & Philosophy Of Science
311481,History & Philosophy Of Science
311480,History & Philosophy Of Science
338557,History;Medieval & Renaissance Studies
440564,History & Philosophy Of Science
434897,History
502782,History
507159,History
506507,History
503346,History
507314,History
507343,History
507160,History
507315,History
506504,History
505878,History
505876,History
505814,History
470510,"Literature, Romance"
470041,History & Philosophy Of Science
294813,History
226080,History
510162,Immunology
470690,Parasitology;Microbiology;Virology
157090,Biochemistry & Molecular Biology;Biochemical Research Methods
381737,Immunology
916139,Rheumatology
949536,Immunology
500264,Immunology
348453,Pharmacology & Pharmacy
542370,Parasitology
463109,Farmacología
311060,Patología
406201,Patología
439350,Enfermedades infecciosas
437810,Enfermedades infecciosas
398520,Plant Sciences
223828,"Biochemistry & Molecular Biology;Pharmacology & Pharmacy;Chemistry, Medicinal"
168742,Biochemistry & Molecular Biology;Genetics & Heredity
218317,"Biochemistry & Molecular Biology;Pharmacology & Pharmacy;Chemistry, Medicinal"
216125,Oncology
213170,Multidisciplinary Sciences
214976,Immunology
213494,"Chemistry, Organic"
206867,Pharmacology & Pharmacy
221118,Genetics & Heredity;Biotechnology & Applied Microbiology
213086,Cell Biology
213863,"Medicine, General & Internal"
559710,Pharmacology & Pharmacy
127679,Biochemistry & Molecular Biology
934301,Immunology
39675,Immunology
39501,Genetics & Heredity
39396,Cell Biology
39272,Cell Biology
39262,Biochemistry & Molecular Biology
39535,Microbiology;Pharmacology & Pharmacy;Infectious Diseases
39271,Parasitology
39287,Parasitology;Tropical Medicine
39221,Parasitology;Tropical Medicine
98880,Rheumatology
267483,Pharmacology & Pharmacy
966522,Parasitology
319238,Biochemistry & Molecular Biology;Genetics & Heredity
344832,Genetics & Heredity
421159,"Pharmacology & Pharmacy;Chemistry, Medicinal"
238218,Neurosciences
293501,Genetics & Heredity
226650,Parasitology
292498,Genetics & Heredity
233028,Oncology
226649,Oncology
259842,Infectious Diseases
230308,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
278143,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
39270,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
39490,Genetics & Heredity
39427,Immunology;Cell Biology
39625,Microbiology;Pharmacology & Pharmacy;Infectious Diseases
39282,Pharmacology & Pharmacy
39227,Parasitology
39264,Pharmacology & Pharmacy
39267,Biochemistry & Molecular Biology
157119,"Biochemistry & Molecular Biology;Pharmacology & Pharmacy;Chemistry, Medicinal"
950846,Rheumatology
939206,Biochemistry & Molecular Biology;Biophysics
337087,Virology
319239,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
157225,Pharmacology & Pharmacy
39772,Oncology
39707,Rheumatology
37664,"Pharmacology & Pharmacy;Chemistry, Medicinal"
39652,Neurosciences
39760,Immunology
39665,Rheumatology
39591,"Medicine, General & Internal"
39553,Biochemistry & Molecular Biology
39570,Virology
39643,Pharmacology & Pharmacy;Neurosciences
426129,Parasitology
417104,Multidisciplinary Sciences
442385,Biochemistry & Molecular Biology
267470,"Biochemistry & Molecular Biology;Pharmacology & Pharmacy;Chemistry, Medicinal"
267493,Pharmacology & Pharmacy
299281,Rheumatology
267979,Virology
278244,Immunology
346149,Pharmacology & Pharmacy
326601,Pharmacology & Pharmacy;Neurosciences
326583,Rheumatology
801807,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
787230,Immunology;Microbiology
341053,Pharmacology & Pharmacy
267471,Microbiology;Biochemistry & Molecular Biology
346097,Rheumatology
353078,Microbiology
346112,Pharmacology & Pharmacy
386097,Pharmacology & Pharmacy
786752,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
155487,Microbiology
152599,Microbiology
127673,Microbiology
155468,Parasitology
98845,Pathology
168768,Immunology
157214,Biochemistry & Molecular Biology
155481,Parasitology;Infectious Diseases;Tropical Medicine
157226,Biochemistry & Molecular Biology
114783,Immunology
39795,Immunology
490957,Pharmacology & Pharmacy
393076,Biochemistry & Molecular Biology
498557,Genetics & Heredity
494818,Rheumatology
492468,Rheumatology
386108,Biochemistry & Molecular Biology;Cell Biology
493371,Pharmacology & Pharmacy
337071,Oncology
319237,Pharmacology & Pharmacy
456471,Biochemistry & Molecular Biology;Neurosciences
299798,Pharmacology & Pharmacy
487350,Oncology
488917,"Immunology;Medicine, Research & Experimental"
