gb_id,label
346122,Clinical Neurology
278156,Gastroenterology & Hepatology
39805,Cell Biology
39602,Rheumatology
326575,Rheumatology
361221,Endocrinology & Metabolism
973086,Immunology;Microbiology;Infectious Diseases
326632,Rheumatology
326577,Rheumatology
326576,"Medicine, General & Internal"
348450,Rheumatology
278235,"Medicine, General & Internal"
267458,"Medicine, General & Internal"
267463,Gastroenterology & Hepatology
267469,Clinical Neurology
341117,"Medicine, General & Internal"
966524,Multidisciplinary Sciences
39628,Rheumatology
39657,Rheumatology
457586,"Medicine, General & Internal"
854723,Clinical Neurology;Neurosciences
812901,Oncology
157206,Rheumatology
815565,Multidisciplinary Sciences
815841,Multidisciplinary Sciences
213493,Rheumatology
198831,Hematology
157224,Rheumatology
98998,Rheumatology
386102,Rheumatology
995674,Rheumatology
435316,"Medicine, General & Internal"
417108,Gastroenterology & Hepatology
39374,Biochemistry & Molecular Biology;Parasitology
157118,Rheumatology
549377,Rheumatology
39306,Rheumatology
157078,Rheumatology
39596,Rheumatology
39520,Rheumatology
39304,Rheumatology
157076,Rheumatology
39305,Rheumatology
545955,Rheumatology
39737,Rheumatology
98840,Rheumatology
39419,Rheumatology
634804,Rheumatology
460921,Parasitología animal
461013,Parasitología animal
454959,Parasitología animal
455160,Parasitología animal
454806,Parasitología
460955,Parasitología animal
157098,Neurosciences
425522,Biochemistry & Molecular Biology;Parasitology
444025,Virology
156283,"Biochemistry & Molecular Biology;Chemistry, Medicinal"
428029,Parasitology
428012,Genetics & Heredity
353083,Pharmacology & Pharmacy
858203,Pharmacology & Pharmacy
250188,Genetics & Heredity
127675,Genetics & Heredity
1001157,Cell Biology
92066,Cell Biology
510162,Immunology
326590,Rheumatology
98984,"Chemistry, Medicinal;Pharmacology & Pharmacy"
470690,Microbiology;Parasitology;Virology
39523,Rheumatology
218310,Immunology;Genetics & Heredity
221122,Genetics & Heredity;Biotechnology & Applied Microbiology
231366,Immunology
250193,Parasitology
353105,Cell Biology
953561,Rheumatology
369660,Parasitology
98862,Genetics & Heredity
417987,Cell Biology;Immunology;Pathology
361222,Cell Biology
127667,Rheumatology
134522,"Chemistry, Medicinal;Pharmacology & Pharmacy"
39402,Immunology
98848,Cell Biology
157090,Biochemistry & Molecular Biology;Biochemical Research Methods
381737,Immunology
916139,Rheumatology
500264,Immunology
439350,Enfermedades infecciosas
348453,Pharmacology & Pharmacy
542370,Parasitology
406201,Patología
463109,Farmacología
311060,Patología
437810,Enfermedades infecciosas
950846,Rheumatology
386108,Cell Biology;Biochemistry & Molecular Biology
386097,Pharmacology & Pharmacy
299798,Pharmacology & Pharmacy
426129,Parasitology
341053,Pharmacology & Pharmacy
346149,Pharmacology & Pharmacy
787230,Immunology;Microbiology
494818,Rheumatology
326601,Neurosciences;Pharmacology & Pharmacy
346097,Rheumatology
267471,Microbiology;Biochemistry & Molecular Biology
278244,Immunology
267483,Pharmacology & Pharmacy
346112,Pharmacology & Pharmacy
39282,Pharmacology & Pharmacy
157225,Pharmacology & Pharmacy
259842,Infectious Diseases
39652,Neurosciences
492468,Rheumatology
39625,Microbiology;Infectious Diseases;Pharmacology & Pharmacy
39643,Neurosciences;Pharmacology & Pharmacy
226649,Oncology
39665,Rheumatology
39535,Microbiology;Infectious Diseases;Pharmacology & Pharmacy
39675,Immunology
39570,Virology
39553,Biochemistry & Molecular Biology
39591,"Medicine, General & Internal"
230308,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
278143,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
233028,Oncology
293501,Genetics & Heredity
226650,Parasitology
292498,Genetics & Heredity
238218,Neurosciences
213170,Multidisciplinary Sciences
216125,Oncology
213863,"Medicine, General & Internal"
206867,"Chemistry, Medicinal;Pharmacology & Pharmacy"
213086,Cell Biology
214976,Immunology
218317,"Biochemistry & Molecular Biology;Chemistry, Medicinal;Pharmacology & Pharmacy"
221118,Genetics & Heredity;Biotechnology & Applied Microbiology
213494,"Chemistry, Organic"
223828,"Biochemistry & Molecular Biology;Chemistry, Medicinal;Pharmacology & Pharmacy"
267493,Pharmacology & Pharmacy
299281,Rheumatology
267470,"Biochemistry & Molecular Biology;Chemistry, Medicinal;Pharmacology & Pharmacy"
267979,Virology
326583,Rheumatology
337071,Oncology
421159,"Chemistry, Medicinal;Pharmacology & Pharmacy"
337087,Virology
319239,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
398520,Plant Sciences
344832,Genetics & Heredity
801807,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
319238,Biochemistry & Molecular Biology;Genetics & Heredity
39490,Genetics & Heredity
393076,Biochemistry & Molecular Biology
39501,Genetics & Heredity
966522,Parasitology
442385,Biochemistry & Molecular Biology
417104,Multidisciplinary Sciences
39267,Biochemistry & Molecular Biology
39287,Parasitology;Tropical Medicine
39227,Parasitology
493371,Pharmacology & Pharmacy
39271,Parasitology
498557,Genetics & Heredity
157119,"Biochemistry & Molecular Biology;Chemistry, Medicinal;Pharmacology & Pharmacy"
39396,Cell Biology
786752,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
98880,Rheumatology
487350,Oncology
490957,Pharmacology & Pharmacy
39270,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
39264,Pharmacology & Pharmacy
39272,Cell Biology
39262,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
488917,"Immunology;Medicine, Research & Experimental"
353078,Microbiology
39221,Parasitology;Tropical Medicine
168768,Immunology
127673,Microbiology
152599,Microbiology
155481,Infectious Diseases;Parasitology;Tropical Medicine
155468,Parasitology
39760,Immunology
37664,"Chemistry, Medicinal;Pharmacology & Pharmacy"
39707,Rheumatology
559710,Pharmacology & Pharmacy
127679,Biochemistry & Molecular Biology
155487,Microbiology
157214,Biochemistry & Molecular Biology
157226,Biochemistry & Molecular Biology
98845,Pathology
114783,Immunology
39795,Immunology
39427,Cell Biology;Immunology
934301,Immunology
319237,Pharmacology & Pharmacy
39412,Clinical Neurology
939206,Biochemistry & Molecular Biology;Biophysics
530760,Immunology;Genetics & Heredity
568146,Immunology;Genetics & Heredity
568208,Immunology;Genetics & Heredity
218311,Immunology;Genetics & Heredity
218313,Immunology;Genetics & Heredity
456471,Neurosciences;Biochemistry & Molecular Biology
551986,Immunology;Neurosciences
645914,Genetics & Heredity
558376,Immunology
1010917,Rheumatology
987982,Rheumatology
39556,Rheumatology
753859,Rheumatology
39586,Rheumatology
933453,Immunology
668550,Rheumatology
900589,Rheumatology
39689,Rheumatology
39613,Rheumatology
39620,Rheumatology
39623,Rheumatology
39686,Rheumatology
175178,Rheumatology
155462,Rheumatology
177042,Rheumatology
39706,Rheumatology
39728,Rheumatology
682526,Rheumatology
39704,Rheumatology
39777,Rheumatology
39712,Rheumatology
39342,Rheumatology
39313,Rheumatology
39351,Rheumatology
39550,Rheumatology
39584,Rheumatology
39548,Rheumatology
39624,Rheumatology
39619,Rheumatology
39606,Rheumatology
177029,Rheumatology
175110,Rheumatology
177028,Rheumatology
949536,Immunology
98983,Biochemistry & Molecular Biology
486179,Biochemistry & Molecular Biology;Genetics & Heredity
954150,Rheumatology
386121,Immunology;Genetics & Heredity
386122,Cell Biology;Immunology;Pathology
426131,Immunology
933452,Rheumatology
326609,Cell Biology;Immunology;Pathology
326550,Gastroenterology & Hepatology
326587,Cell Biology;Immunology;Pathology
326581,Multidisciplinary Sciences;Neurosciences;Biochemistry & Molecular Biology
326580,Rheumatology
326553,Multidisciplinary Sciences
326624,Multidisciplinary Sciences;Neurosciences;Biochemistry & Molecular Biology
341106,Multidisciplinary Sciences;Neurosciences;Biochemistry & Molecular Biology
346120,Immunology;Genetics & Heredity
346090,Immunology
346119,Rheumatology
346146,Cell Biology;Immunology;Pathology
346107,Immunology
353135,Cell Biology;Oncology;Biochemistry & Molecular Biology;Genetics & Heredity
346141,Rheumatology
861966,Rheumatology
346091,Immunology
353099,Cell Biology;Immunology;Pathology
346125,Gastroenterology & Hepatology
346098,Immunology
346128,Multidisciplinary Sciences
346094,Immunology
346132,Cell Biology;Immunology;Pathology
326611,Rheumatology
650373,Rheumatology
98948,Rheumatology
98967,Rheumatology
157101,Immunology
98930,Rheumatology
267444,Pathology
157116,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
98938,Cell Biology
340943,Pharmacology & Pharmacy
326608,Pathology
326555,Oncology
326559,Pathology
39725,Multidisciplinary Sciences
39736,Rheumatology
39655,Parasitology;Tropical Medicine
39646,Pharmacology & Pharmacy
39662,Biochemistry & Molecular Biology
234007,Cell Biology
39568,Virology
417093,Immunology
822651,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
827020,Rheumatology
221119,Cell Biology
98981,Hematology
353129,Oncology
326588,Gastroenterology & Hepatology
346095,Cell Biology;Biochemistry & Molecular Biology
346104,Cell Biology;Immunology;Pathology
326633,Rheumatology
98961,Cell Biology;Immunology;Pathology
98980,Rheumatology
267478,Cell Biology;Immunology;Pathology
267494,Rheumatology
267508,Cell Biology;Immunology;Pathology
326563,Rheumatology
326617,Cell Biology;Immunology;Pathology
326615,Multidisciplinary Sciences;Neurosciences;Biochemistry & Molecular Biology
973077,Rheumatology
326570,Microbiology;Pharmacology & Pharmacy
267504,Rheumatology
267480,Rheumatology
778955,Parasitology;Tropical Medicine
417100,Immunology
386123,Immunology
400083,Immunology
39506,Biochemistry & Molecular Biology
407287,Biochemistry & Molecular Biology
407303,Rheumatology
412800,Cell Biology;Immunology;Pathology
98865,Biochemistry & Molecular Biology
407319,Biochemistry & Molecular Biology
407297,Cell Biology;Immunology;Pathology
407295,Cell Biology;Immunology;Pathology
417099,Microbiology
419204,Biochemistry & Molecular Biology
418228,Biochemistry & Molecular Biology
418883,Cell Biology;Immunology;Pathology
417457,Immunology
418034,Biochemistry & Molecular Biology
417689,Cell Biology;Immunology;Pathology
418477,Cell Biology;Immunology;Pathology
417095,Cell Biology;Immunology;Pathology
417091,Immunology
425523,"Immunology;Medicine, Research & Experimental"
548787,Rheumatology
478539,Immunology
39224,Biochemistry & Molecular Biology
814801,"Chemistry, Medicinal;Pharmacology & Pharmacy"
98916,Rheumatology
98897,Cell Biology;Immunology;Pathology
98902,Gastroenterology & Hepatology
157073,Cell Biology
166947,Multidisciplinary Sciences
155483,Neurosciences
157213,Cell Biology;Biochemistry & Molecular Biology
127678,Multidisciplinary Sciences
114795,Pharmacology & Pharmacy
98835,Rheumatology
39730,Rheumatology
39753,Biochemistry & Molecular Biology;Biochemical Research Methods
168747,"Chemistry, Medicinal"
189108,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
134523,Rheumatology
192486,Biochemistry & Molecular Biology;Genetics & Heredity
39811,Biochemical Research Methods
39801,Biochemistry & Molecular Biology
17323,Biochemical Research Methods
39413,Cell Biology;Biochemistry & Molecular Biology
39514,Biochemistry & Molecular Biology
987978,Obstetrics & Gynecology;Reproductive Biology
987980,Obstetrics & Gynecology;Reproductive Biology
995047,Rheumatology
421168,Clinical Neurology;Neurosciences
374585,Neurosciences
374655,Neurosciences
524898,Rheumatology
987979,Obstetrics & Gynecology;Reproductive Biology
576702,Clinical Neurology;Neurosciences
494815,Obstetrics & Gynecology;Reproductive Biology
500846,Clinical Neurology;Neurosciences
374880,Gastroenterology & Hepatology
426128,Rheumatology
381266,Rheumatology
623298,"Medicine, General & Internal"
998657,Rheumatology
998655,Rheumatology
998656,Rheumatology
868572,Obstetrics & Gynecology;Reproductive Biology
900689,Rheumatology
39555,Rheumatology
39545,Rheumatology
39476,Rheumatology
495928,Rheumatology
495929,Rheumatology
495927,Rheumatology
584475,Obstetrics & Gynecology;Reproductive Biology
39481,Biochemistry & Molecular Biology
39409,Immunology
39478,Biochemistry & Molecular Biology
39485,Immunology
39482,Biochemistry & Molecular Biology
39483,Immunology
754698,Rheumatology
98867,Rheumatology
38192,Biochemistry & Molecular Biology
39408,Immunology
39477,Biochemistry & Molecular Biology
39480,Biochemistry & Molecular Biology
98866,Rheumatology
756075,Rheumatology
98868,Rheumatology
296974,Rheumatology
39464,Rheumatology
39410,Clinical Neurology;Neurosciences
37499,Immunology;Neurosciences
754309,Biochemistry & Molecular Biology
39486,Clinical Neurology;Neurosciences
39479,Biochemistry & Molecular Biology
39484,Immunology
141262,Infectious Diseases
157104,Infectious Diseases
141192,Infectious Diseases
346114,Endocrinology & Metabolism;Physiology
346109,Endocrinology & Metabolism;Physiology
382397,Immunology;Genetics & Heredity
346117,Endocrinology & Metabolism;Physiology
346148,Endocrinology & Metabolism;Physiology
346129,Endocrinology & Metabolism;Physiology
346113,Rheumatology
346144,Endocrinology & Metabolism;Physiology
346110,Endocrinology & Metabolism;Physiology
267461,Biochemistry & Molecular Biology
267477,Cell Biology;Immunology;Pathology
267499,Cell Biology;Immunology
267473,Cell Biology;Immunology;Pathology
267485,Cell Biology;Immunology
267474,Cell Biology;Immunology;Pathology
299751,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
267447,Oncology
267475,Cell Biology;Immunology;Pathology
267438,Rheumatology
346142,Biochemistry & Molecular Biology
341112,Endocrinology & Metabolism;Physiology
341007,Cell Biology;Immunology;Pathology
340957,Biochemistry & Molecular Biology
340922,Cell Biology;Immunology;Pathology
341062,Clinical Neurology;Neurosciences
361265,Endocrinology & Metabolism;Physiology
361249,Immunology;Neurosciences
361257,Parasitology;Tropical Medicine
361246,Immunology;Genetics & Heredity
361256,Immunology;Genetics & Heredity
361250,Cell Biology;Immunology;Pathology
361248,Dermatology
361241,Parasitology;Tropical Medicine
348448,Infectious Diseases
250198,Clinical Neurology;Neurosciences
98893,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
98888,Endocrinology & Metabolism;Neurosciences
177009,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
643122,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
98889,Endocrinology & Metabolism;Neurosciences
98881,Pharmacology & Pharmacy
250196,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
98887,Endocrinology & Metabolism;Neurosciences
640656,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
98913,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
98950,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
95389,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
177008,Rheumatology
182626,Endocrinology & Metabolism
98957,Rheumatology
98947,Immunology;Neurosciences
98951,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
250195,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
98955,Rheumatology
98973,Biochemistry & Molecular Biology
250194,Rheumatology
341045,Gastroenterology & Hepatology
854724,Obstetrics & Gynecology;Reproductive Biology
916135,Rheumatology
916124,Rheumatology
908320,Clinical Neurology;Neurosciences
953560,Biochemistry & Molecular Biology;Genetics & Heredity
916127,Rheumatology
933455,Immunology
187846,Rheumatology
187840,Rheumatology
187857,"Chemistry, Multidisciplinary"
187834,Rheumatology
190400,Clinical Neurology;Neurosciences
172695,Cell Biology;Immunology;Pathology
